Franchise,Movie
Mad Max,Mad Max
Mad Max,The Road Warrior
Mad Max,Mad Max Beyond Thunderdome
Mad Max,Mad Max: Fury Road
The Lord of the Rings,The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings,The Lord of the Rings: The Two Towers
The Lord of the Rings,The Lord of the Rings: The Return of the King
The Hobbit,The Hobbit: An Unexpected Journey
The Hobbit,The Hobbit: The Desolation of Smaug
The Hobbit,The Hobbit: The Battle of the Five Armies
Harry Potter,Harry Potter and the Sorcerer's Stone
Harry Potter,Harry Potter and the Chamber of Secrets
Harry Potter,Harry Potter and the Prisoner of Azkaban
Harry Potter,Harry Potter and the Goblet of Fire
Harry Potter,Harry Potter and the Order of the Phoenix
Harry Potter,Harry Potter and the Half-Blood Prince
Harry Potter,Harry Potter and the Deathly Hallows – Part 1
Harry Potter,Harry Potter and the Deathly Hallows – Part 2
Fantastic Beasts,Fantastic Beasts and Where to Find Them
Fantastic Beasts,Fantastic Beasts: The Crimes of Grindelwald
Fantastic Beasts,Fantastic Beasts: The Secrets of Dumbledore
Mission: Impossible,Mission: Impossible
Mission: Impossible,Mission: Impossible II
Mission: Impossible,Mission: Impossible III
Mission: Impossible,Mission: Impossible - Ghost Protocol
Mission: Impossible,Mission: Impossible - Rogue Nation
Mission: Impossible,Mission: Impossible - Fallout
Star Wars,Star Wars
Star Wars,Star Wars: Episode V - The Empire Strikes Back
Star Wars,Star Wars: Episode VI - Return of the Jedi
Star Wars,Star Wars: Episode I - The Phantom Menace
Star Wars,Star Wars: Episode II - Attack of the Clones
Star Wars,Star Wars: Episode III - Revenge of the Sith
Star Wars,Star Wars: Episode VII - The Force Awakens
Star Wars,Rogue One: A Star Wars Story
Star Wars,Star Wars: Episode VIII - The Last Jedi
Star Wars,Solo: A Star Wars Story
Star Wars,Star Wars: Episode IX - The Rise of Skywalker
Bourne,The Bourne Identity
Bourne,The Bourne Supremacy
Bourne,The Bourne Ultimatum
Bourne,The Bourne Legacy
Bourne,Jason Bourne
Marvel,Iron Man
Marvel,The Incredible Hulk
Marvel,Iron Man 2
Marvel,Thor
Marvel,Captain America: The First Avenger
Marvel,The Avengers
Marvel,Iron Man 3
Marvel,Thor: The Dark World
Marvel,Captain America: The Winter Soldier
Marvel,Guardians of the Galaxy
Marvel,Avengers: Age of Ultron
Marvel,Ant-Man
Marvel,Captain America: Civil War
Marvel,Doctor Strange
Marvel,Guardians of the Galaxy Vol. 2
Marvel,Spider-Man: Homecoming
Marvel,Thor: Ragnarok
Marvel,Black Panther
Marvel,Avengers: Infinity War
Marvel,Ant-Man and the Wasp
Millennium,The Girl With the Dragon Tattoo
Millennium,The Girl Who Played with Fire
Millennium,The Girl Who Kicked the Hornet's Nest
Millennium,The Girl With the Dragon Tattoo
The Hunger Games,The Hunger Games
The Hunger Games,The Hunger Games: Catching Fire
The Hunger Games,The Hunger Games: Mockingjay - Part 1
The Hunger Games,The Hunger Games: Mockingjay - Part 2
Indiana Jones,Indiana Jones and the Raiders of the Lost Ark
Indiana Jones,Indiana Jones and the Temple of Doom
Indiana Jones,Indiana Jones and the Last Crusade
Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull
Spider-Man,Spider-Man
Spider-Man,Spider-Man 2
Spider-Man,Spider-Man 3
Spider-Man,The Amazing Spider-Man
Spider-Man,The Amazing Spider-Man 2
Spider-Man,Spider-Man: Homecoming 
The Muppets,The Muppet Movie
The Muppets,The Great Muppet Caper
The Muppets,The Muppets Take Manhattan
The Muppets,The Muppet Christmas Carol
The Muppets,Muppet Treasure Island
The Muppets,Muppets from Space
The Muppets,The Muppets
The Muppets,Muppets Most Wanted
Ocean's Eleven,Ocean's Eleven
Ocean's Eleven,Ocean's Twelve
Ocean's Eleven,Ocean's Thirteen
Ocean's Eleven,Ocean's 8
X-Men,X-Men
X-Men,X2: X-Men United
X-Men,X-Men: The Last Stand
X-Men,X-Men Origins: Wolverine
X-Men,X-Men: First Class
X-Men,The Wolverine
X-Men,X-Men: Days of Future Past
X-Men,Deadpool
X-Men,X-Men: Apocalypse
X-Men,Logan
X-Men,Deadpool 2
Star Trek,Star Trek: The Motion Picture
Star Trek,Star Trek II: The Wrath of Khan
Star Trek,Star Trek III: The Search for Spock
Star Trek,Star Trek IV: The Voyage Home
Star Trek,Star Trek V: The Final Frontier
Star Trek,Star Trek VI: The Undiscovered Country
Star Trek,Star Trek Generations
Star Trek,Star Trek: First Contact
Star Trek,Star Trek: Insurrection
Star Trek,Star Trek: Nemesis
Star Trek,Star Trek
Star Trek,Star Trek Into Darkness
Star Trek,Star Trek Beyond
Terminator,The Terminator
Terminator,Terminator 2: Judgment Day
Terminator,Terminator 3: Rise of the Machines
Terminator,Terminator Salvation
Terminator,Terminator Genisys
