Franchise,Movie,movie_year,averageRating,numVotes,order
Mad Max,Mad Max,1979.0,6.8,204547.0,1
Mad Max,The Road Warrior,1981.0,7.6,178116.0,2
Mad Max,Mad Max Beyond Thunderdome,1985.0,6.2,135391.0,3
Mad Max,Mad Max: Fury Road,2015.0,8.1,973185.0,4
The Lord of the Rings,The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,1804967.0,1
The Lord of the Rings,The Lord of the Rings: The Two Towers,2002.0,8.8,1611089.0,2
The Lord of the Rings,The Lord of the Rings: The Return of the King,2003.0,9.0,1783856.0,3
The Hobbit,The Hobbit: An Unexpected Journey,2012.0,7.8,805741.0,1
The Hobbit,The Hobbit: The Desolation of Smaug,2013.0,7.8,644859.0,2
The Hobbit,The Hobbit: The Battle of the Five Armies,2014.0,7.4,515722.0,3
Harry Potter,Harry Potter and the Sorcerer's Stone,2001.0,7.6,755354.0,1
Harry Potter,Harry Potter and the Chamber of Secrets,2002.0,7.4,617527.0,2
Harry Potter,Harry Potter and the Prisoner of Azkaban,2004.0,7.9,616775.0,3
Harry Potter,Harry Potter and the Goblet of Fire,2005.0,7.7,609948.0,4
Harry Potter,Harry Potter and the Order of the Phoenix,2007.0,7.5,566325.0,5
Harry Potter,Harry Potter and the Half-Blood Prince,2009.0,7.6,530263.0,6
Harry Potter,Harry Potter and the Deathly Hallows: Part 1,2010.0,7.7,534000.0,7
Harry Potter,Harry Potter and the Deathly Hallows: Part 2,2011.0,8.1,850000.0,8
Fantastic Beasts,Fantastic Beasts and Where to Find Them,2016.0,7.2,464513.0,1
Fantastic Beasts,Fantastic Beasts: The Crimes of Grindelwald,2018.0,6.5,272532.0,2
Fantastic Beasts,Fantastic Beasts: The Secrets of Dumbledore,2022.0,6.2,88236.0,3
Mission: Impossible,Mission: Impossible,1996.0,7.1,416630.0,1
Mission: Impossible,Mission: Impossible II,2000.0,6.1,336049.0,2
Mission: Impossible,Mission: Impossible III,2006.0,6.9,350888.0,3
Mission: Impossible,Mission: Impossible - Ghost Protocol,2011.0,7.4,482487.0,4
Mission: Impossible,Mission: Impossible - Rogue Nation,2015.0,7.4,366142.0,5
Mission: Impossible,Mission: Impossible - Fallout,2018.0,7.7,323374.0,6
Star Wars,Star Wars,1977.0,8.6,1328170.0,1
Star Wars,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,1256282.0,2
Star Wars,Star Wars: Episode VI - Return of the Jedi,1983.0,8.3,1026249.0,3
Star Wars,Star Wars: Episode I - The Phantom Menace,1999.0,6.5,785264.0,4
Star Wars,Star Wars: Episode II - Attack of the Clones,2002.0,6.6,693099.0,5
Star Wars,Star Wars: Episode III - Revenge of the Sith,2005.0,7.6,769134.0,6
Star Wars,Star Wars: Episode VII - The Force Awakens,2015.0,7.8,912305.0,7
Star Wars,Rogue One: A Star Wars Story,2016.0,7.8,609877.0,8
Star Wars,Star Wars: Episode VIII - The Last Jedi,2017.0,6.9,614848.0,9
Star Wars,Solo: A Star Wars Story,2018.0,6.9,334003.0,10
Star Wars,Star Wars: Episode IX - The Rise of Skywalker,2019.0,6.5,433092.0,11
Bourne,The Bourne Identity,2002.0,7.9,539593.0,1
Bourne,The Bourne Supremacy,2004.0,7.7,458195.0,2
Bourne,The Bourne Ultimatum,2007.0,8.0,628526.0,3
Bourne,The Bourne Legacy,2012.0,6.6,299711.0,4
Bourne,Jason Bourne,2016.0,6.6,224426.0,5
Millennium,The Girl Who Played with Fire,2009.0,7.1,94996.0,1
Millennium,The Girl Who Kicked the Hornet's Nest,2009.0,7.3,71559.0,2
Millennium,The Girl With the Dragon Tattoo,2011.0,7.8,457000.0,3
The Hunger Games,The Hunger Games,2012.0,7.2,900675.0,1
The Hunger Games,The Hunger Games: Catching Fire,2013.0,7.5,652965.0,2
The Hunger Games,The Hunger Games: Mockingjay - Part 1,2014.0,6.6,446574.0,3
The Hunger Games,The Hunger Games: Mockingjay - Part 2,2015.0,6.5,318403.0,4
Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,1981.0,8.4,946187.0,1
Indiana Jones,Indiana Jones and the Temple of Doom,1984.0,7.5,479288.0,2
Indiana Jones,Indiana Jones and the Last Crusade,1989.0,8.2,740239.0,3
Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,2008.0,6.1,448586.0,4
Spider-Man,Spider-Man,2002.0,7.4,797954.0,1
Spider-Man,Spider-Man 2,2004.0,7.4,635817.0,2
Spider-Man,Spider-Man 3,2007.0,6.2,575832.0,3
Spider-Man,The Amazing Spider-Man,2012.0,6.9,641480.0,4
Spider-Man,The Amazing Spider-Man 2,2014.0,6.6,485723.0,5
Spider-Man,Spider-Man: Homecoming ,2017.0,7.4,632000.0,6
The Muppets,The Muppet Movie,1979.0,7.6,35851.0,1
The Muppets,The Great Muppet Caper,1981.0,7.1,15386.0,2
The Muppets,The Muppets Take Manhattan,1984.0,6.8,21203.0,3
The Muppets,The Muppet Christmas Carol,1992.0,7.7,57664.0,4
The Muppets,Muppet Treasure Island,1996.0,6.9,24063.0,5
The Muppets,Muppets from Space,1999.0,6.2,19440.0,6
The Muppets,The Muppets,2011.0,7.1,91979.0,7
The Muppets,Muppets Most Wanted,2014.0,6.4,34372.0,8
Ocean's Eleven,Ocean's Eleven,1960.0,6.5,23082.0,1
Ocean's Eleven,Ocean's Eleven,2001.0,7.7,560250.0,2
Ocean's Eleven,Ocean's Twelve,2004.0,6.4,384065.0,3
Ocean's Eleven,Ocean's Thirteen,2007.0,6.9,341819.0,4
Ocean's Eleven,Ocean's Eight,2018.0,6.8,214000.0,5
X-Men,X-Men,2000.0,7.3,605989.0,1
X-Men,X2: X-Men United,2003.0,7.4,542358.0,2
X-Men,X-Men: The Last Stand,2006.0,6.6,509884.0,3
X-Men,X-Men Origins: Wolverine,2009.0,6.5,497147.0,4
X-Men,X-Men: First Class,2011.0,7.7,682189.0,5
X-Men,The Wolverine,2013.0,6.7,458761.0,6
X-Men,X-Men: Days of Future Past,2014.0,7.9,700371.0,7
X-Men,Deadpool,2016.0,8.0,1001530.0,8
X-Men,X-Men: Apocalypse,2016.0,6.9,426154.0,9
X-Men,Logan,2017.0,8.1,733713.0,10
X-Men,Deadpool 2,2018.0,7.7,557315.0,11
Star Trek,Star Trek: The Motion Picture,1979.0,6.4,89176.0,1
Star Trek,Star Trek II: The Wrath of Khan,1982.0,7.7,120034.0,2
Star Trek,Star Trek III: The Search for Spock,1984.0,6.6,79964.0,3
Star Trek,Star Trek IV: The Voyage Home,1986.0,7.3,84682.0,4
Star Trek,Star Trek V: The Final Frontier,1989.0,5.4,59722.0,5
Star Trek,Star Trek VI: The Undiscovered Country,1991.0,7.2,75209.0,6
Star Trek,Star Trek: First Contact,1996.0,7.6,124558.0,7
Star Trek,Star Trek: Insurrection,1998.0,6.4,74776.0,8
